Name,Cost,Done,Process,Time,Efficiency,Time done,Time_seconds,Status
§1 Вопрос 1,273.73,Yes,No,0:43:05,381.210058027079,"November 23, 2021 9:59 PM",2585.0,
§1 Вопрос 2,273.73,Yes,No,0:21:01,781.465503568596,"November 23, 2021 9:59 PM",1261.0,
§1 Вопрос 3,273.73,Yes,No,0:15:01,1093.704772475028,"November 23, 2021 9:59 PM",901.0,
§1 Вопрос 4,273.73,Yes,No,0:22:00,746.536363636364,"November 23, 2021 9:59 PM",1320.0,
§1 Вопрос 5,273.73,Yes,No,0:26:35,617.823197492163,"November 23, 2021 9:59 PM",1595.0,
§1 Вопрос 6,273.73,Yes,No,0:32:40,502.769387755102,"November 23, 2021 9:59 PM",1960.0,
§1 Упражнение 1.1,273.73,Yes,No,0:17:16,951.185328185328,"November 23, 2021 9:59 PM",1036.0,
§1 Упражнение 1.2,273.73,Yes,No,0:23:18,704.884120171674,"November 23, 2021 9:59 PM",1398.0,
§1 Упражнение 1.3,273.73,Yes,No,0:23:50,689.11048951049,"November 23, 2021 9:59 PM",1430.0,
§1 Упражнение 1.4,273.73,Yes,No,0:16:56,969.909448818898,"November 23, 2021 9:59 PM",1016.0,
§1 Упражнение 1.5,273.73,Yes,No,1:26:57,188.887866589994,"November 23, 2021 9:59 PM",5217.0,
§2 Вопрос 1,273.73,Yes,No,0:15:51,1036.201892744479,"November 23, 2021 9:59 PM",951.0,
§2 Вопрос 2,273.73,Yes,No,0:19:39,835.81679389313,"November 23, 2021 9:59 PM",1179.0,
§2 Вопрос 3,273.73,Yes,No,0:20:45,791.50843373494,"November 23, 2021 9:59 PM",1245.0,
§2 Упражнение 2.1,273.73,Yes,No,0:28:04,585.171021377672,"January 29, 2022 7:25 PM",1684.0,
§2 Упражнение 2.2,273.73,Yes,No,0:22:45,721.925274725275,"November 23, 2021 9:59 PM",1365.0,
§3 Вопрос 1,273.73,Yes,No,0:48:01,342.043734814301,"November 23, 2021 9:59 PM",2881.0,
§3 Вопрос 2,273.73,Yes,No,0:17:41,928.772855796419,"November 23, 2021 9:59 PM",1061.0,
§3 Вопрос 3,273.73,Yes,No,0:19:50,828.090756302521,"November 23, 2021 9:59 PM",1190.0,
§3 Упражнение 3.1,273.73,Yes,No,1:33:29,175.686931716884,"November 23, 2021 9:48 PM",5609.0,
§3 Упражнение 3.2,273.73,Yes,No,0:46:44,351.436519258203,"November 23, 2021 9:49 PM",2804.0,
§4 Вопрос 1,273.73,Yes,No,0:39:56,411.280467445743,"January 23, 2022 1:57 PM",2396.0,
§4 Вопрос 2,273.73,Yes,No,0:21:39,758.605080831409,"January 23, 2022 2:20 PM",1299.0,
§4 Вопрос 3,273.73,Yes,No,0:30:46,533.817984832069,"January 23, 2022 3:00 PM",1846.0,
§4 Вопрос 4,273.73,Yes,No,1:04:05,256.288166449935,"January 25, 2022 9:47 PM",3845.0,
§4 Упражнение 4.1,273.73,Yes,No,0:46:44,351.436519258203,"January 27, 2022 4:44 PM",2804.0,
§4 Упражнение 4.2,273.73,Yes,No,1:17:50,211.012419700214,"February 1, 2022 2:33 PM",4670.0,
§5 Вопрос 1,273.73,Yes,No,0:40:24,410.595,"February 1, 2022 5:08 PM",2400.0,
§5 Вопрос 2,273.73,Yes,No,1:06:06,248.468986384266,"February 1, 2022 8:34 PM",3966.0,
§5 Вопрос 3,273.73,Yes,No,0:25:22,647.455978975033,"February 1, 2022 9:22 PM",1522.0,
§5 Вопрос 4,273.73,Yes,No,0:17:31,937.609895337774,"February 1, 2022 9:40 PM",1051.0,
§5 Вопрос 5,273.73,Yes,No,1:04:42,253.84544049459,"February 6, 2022 3:41 PM",3882.0,
§5 Вопрос 6,273.73,Yes,No,0:40:06,409.571072319202,"February 7, 2022 7:10 PM",2406.0,
§5 Упражнение 5.1,273.73,Yes,No,0:56:44,289.491186839013,"February 8, 2022 11:10 PM",3404.0,
§5 Упражнение 5.2,273.73,Yes,No,0:12:05,1359.211034482759,"February 10, 2022 11:15 AM",725.0,
§5 Упражнение 5.3,273.73,Yes,No,0:47:30,345.764210526316,"February 10, 2022 9:05 PM",2850.0,
§6 Вопрос 1,273.73,Yes,No,0:11:54,1380.151260504202,"February 12, 2022 6:01 PM",714.0,
§6 Вопрос 2,273.73,Yes,No,1:20:48,203.264851485149,"February 12, 2022 8:10 PM",4848.0,
§6 Вопрос 3,273.73,Yes,No,1:19:13,207.327582579424,"February 22, 2022 4:18 PM",4753.0,
§6 Упражнение 6.1,273.73,Yes,No,0:23:50,689.11048951049,"February 22, 2022 5:36 PM",1430.0,
§6 Упражнение 6.2,273.73,Yes,No,0:47:07,348.577290413866,"February 26, 2022 12:30 PM",2827.0,
§6 Упражнение 6.3,273.73,Yes,No,1:03:38,258.100576217915,"February 26, 2022 2:04 PM",3818.0,
§6 Упражнение 6.4,273.73,Yes,No,0:22:43,722.984592809978,"February 26, 2022 7:55 PM",1363.0,
§6 Упражнение 6.5,273.73,Yes,No,0:56:57,288.389815627744,"February 27, 2022 9:45 PM",3417.0,
§7 Вопрос 1,273.73,Yes,No,2:22:09,115.53851565248,"March 1, 2022 8:52 PM",8529.0,
§7 Вопрос 2,273.73,Yes,No,0:34:48,471.948275862069,"March 1, 2022 9:30 PM",2088.0,
§7 Упражнение 7.1,273.73,Yes,No,0:43:43,375.687380861609,"March 2, 2022 1:09 PM",2623.0,
§7 Упражнение 7.2,273.73,Yes,No,0:34:16,479.293774319066,"March 2, 2022 2:34 PM",2056.0,
§7 Упражнение 7.3,273.73,Yes,No,0:12:13,1344.37653478854,"March 2, 2022 7:02 PM",733.0,
§8 Вопрос 1,273.73,Yes,No,0:37:04,443.088129496403,"March 8, 2022 11:50 AM",2224.0,
§8 Вопрос 2,273.73,Yes,No,0:52:41,311.745650110725,"March 9, 2022 9:25 PM",3161.0,
§8 Вопрос 3,273.73,Yes,No,0:33:42,487.353115727003,"March 10, 2022 12:40 AM",2022.0,
§8 Вопрос 4,273.73,Yes,No,0:39:21,417.377382465057,"March 11, 2022 12:21 PM",2361.0,
§8 Вопрос 5,273.73,Yes,No,0:19:13,854.664353859497,"March 13, 2022 1:27 PM",1153.0,
§8 Упражнение 8.1,273.73,Yes,No,0:44:25,369.76660412758,"March 16, 2022 1:24 PM",2665.0,
§8 Упражнение 8.2,273.73,Yes,No,0:45:04,364.433431952663,"March 16, 2022 8:53 PM",2704.0,
§8 Упражнение 8.3,273.73,Yes,No,0:14:52,1104.739910313901,"March 21, 2022 2:52 PM",892.0,
§9 Вопрос 1,273.73,Yes,No,0:54:36,300.802197802198,"March 21, 2022 3:45 PM",3276.0,
§9 Вопрос 2,273.73,Yes,No,0:18:29,888.573489630298,"March 21, 2022 4:04 PM",1109.0,
§9 Вопрос 3,273.73,Yes,No,0:32:40,502.769387755102,"March 27, 2022 12:17 AM",1960.0,
§9 Упражнение 9.1,273.73,Yes,No,0:04:27,3690.741573033708,"March 27, 2022 12:49 PM",267.0,
§9 Упражнение 9.2,273.73,Yes,No,0:45:10,363.626568265683,"March 29, 2022 8:42 PM",2710.0,
§9 Упражнение 9.3,273.73,Yes,No,0:12:44,1289.82722513089,"March 29, 2022 8:56 PM",764.0,
§9 Упражнение 9.4,273.73,Yes,No,0:18:33,885.380053908356,"March 29, 2022 9:15 PM",1113.0,
§9 Упражнение 9.5,273.73,Yes,No,1:21:00,202.762962962963,"March 31, 2022 11:58 PM",4860.0,
§10 Вопрос 1,273.73,Yes,No,1:36:54,169.49226006192,"April 2, 2022 5:53 PM",5814.0,
§10 Вопрос 2,273.73,Yes,No,0:16:55,970.865024630542,"April 4, 2022 1:17 PM",1015.0,
§10 Вопрос 3,273.73,Yes,No,0:51:56,316.247753530167,"April 4, 2022 2:21 PM",3116.0,
§10 Вопрос 4,273.73,Yes,No,0:20:05,817.782572614108,"April 6, 2022 9:31 PM",1205.0,
§10 Вопрос 5,273.73,Yes,No,0:44:03,372.844494892168,"April 6, 2022 10:43 PM",2643.0,
§10 Упражнение 10.1,273.73,Yes,No,1:00:49,270.054261441491,"April 8, 2022 4:57 AM",3649.0,
§11 Вопрос 1,273.73,Yes,No,1:11:08,230.887535145267,"April 24, 2022 10:10 PM",4268.0,
§11 Вопрос 2,273.73,Yes,No,0:27:29,597.591267434809,"April 25, 2022 3:04 PM",1649.0,
§11 Вопрос 3,273.73,Yes,No,1:17:36,211.646907216495,"April 25, 2022 7:20 PM",4656.0,
§11 Вопрос 4,273.73,Yes,No,0:18:46,875.158081705151,"April 25, 2022 8:50 PM",1126.0,
§11 Вопрос 5,273.73,Yes,No,0:24:17,676.340425531915,"April 25, 2022 9:31 PM",1457.0,
§11 Упражнение 11.1,273.73,Yes,No,0:42:16,388.57570977918,"May 1, 2022 3:51 PM",2536.0,
§11 Упражнение 11.2,273.73,Yes,No,0:34:04,482.107632093934,"May 1, 2022 4:30 PM",2044.0,
§11 Упражнение 11.3,273.73,Yes,No,0:33:44,486.871541501976,"May 1, 2022 5:49 PM",2024.0,
§11 Упражнение 11.4,273.73,Yes,No,0:39:21,417.377382465057,"May 1, 2022 7:23 PM",2361.0,
§11 Упражнение 11.5,273.73,Yes,No,0:47:58,342.400277970813,"May 1, 2022 8:40 PM",2878.0,
§11 Упражнение 11.6,273.73,Yes,No,0:18:14,900.756855575869,"May 2, 2022 4:01 PM",1094.0,
§12 Вопрос 1,273.73,Yes,No,0:44:36,368.246636771301,"May 2, 2022 4:46 PM",2676.0,
§12 Вопрос 2,273.73,Yes,No,0:32:50,500.217258883249,"May 2, 2022 7:07 PM",1970.0,
§12 Вопрос 3,273.73,Yes,No,0:49:21,332.802431610942,"May 2, 2022 8:00 PM",2961.0,
§12 Вопрос 4,273.73,Yes,No,0:15:51,1036.201892744479,"May 2, 2022 8:19 PM",951.0,
§12 Вопрос 5,273.73,Yes,No,0:18:45,875.936,"May 2, 2022 8:40 PM",1125.0,
§12 Упражнение 12.1,273.73,Yes,No,0:33:41,487.594260267195,"July 1, 2022 4:44 PM",2021.0,
§12 Упражнение 12.2,273.73,Yes,No,0:23:26,700.873399715505,"July 2, 2022 6:10 PM",1406.0,
§12 Упражнение 12.3,273.73,Yes,No,2:26:50,111.85334846765,"July 3, 2022 4:52 PM",8810.0,
§13 Вопрос 1,273.73,Yes,No,1:03:51,257.224745497259,"July 5, 2022 4:04 PM",3831.0,
§13 Вопрос 2,273.73,Yes,No,0:25:38,640.720416124838,"July 5, 2022 4:30 PM",1538.0,
§13 Вопрос 3,273.73,Yes,No,0:24:28,671.272479564033,"July 10, 2022 1:30 PM",1468.0,
§13 Вопрос 4,273.73,Yes,No,0:18:11,903.233730522457,"July 10, 2022 1:55 PM",1091.0,
§13 Вопрос 5,273.73,Yes,No,0:47:14,347.716302046577,"July 10, 2022 4:25 PM",2834.0,
§13 Вопрос 6,273.73,Yes,No,0:14:56,1099.808035714286,"July 10, 2022 5:02 PM",896.0,
§13 Упражнение 13.1,273.73,Yes,No,1:07:14,244.280614774417,"July 10, 2022 8:09 PM",4034.0,
§13 Упражнение 13.2,273.73,Yes,No,0:30:37,536.433315187806,"July 10, 2022 10:54 PM",1837.0,
§13 Упражнение 13.3,273.73,Yes,No,0:40:51,402.051407588739,"July 12, 2022 4:20 PM",2451.0,
§14 Вопрос 1,273.73,Yes,No,0:03:29,4714.966507177034,"July 17, 2022 4:18 PM",209.0,
§14 Вопрос 2,273.73,Yes,No,0:26:06,629.264367816092,"July 16, 2022 7:20 PM",1566.0,
§14 Вопрос 3,273.73,Yes,No,0:50:46,323.515430072226,"July 16, 2022 8:22 PM",3046.0,
§14 Вопрос 4,273.73,Yes,No,0:21:33,762.125290023202,"July 17, 2022 1:33 PM",1293.0,
§14 Вопрос 5,273.73,Yes,No,0:32:46,501.23499491353,"July 17, 2022 4:18 PM",1966.0,
§14 Упражнение 14.1,273.73,Yes,No,0:48:21,339.685625646329,"July 17, 2022 6:13 PM",2901.0,
§15 Вопрос 1,273.73,Yes,No,0:22:44,722.454545454546,"July 18, 2022 2:11 PM",1364.0,
§15 Вопрос 2,273.73,Yes,No,0:04:42,3494.425531914894,"July 18, 2022 2:16 PM",282.0,
§15 Вопрос 3,273.73,Yes,No,0:07:37,2156.297592997812,"July 18, 2022 2:25 PM",457.0,
§15 Вопрос 4,273.73,Yes,No,0:29:59,547.764313507504,"July 18, 2022 5:29 PM",1799.0,
§15 Вопрос 5,273.73,Yes,No,0:56:59,288.221117285756,"July 18, 2022 8:29 PM",3419.0,
§15 Вопрос 6,273.73,Yes,No,0:35:54,457.487465181059,"July 19, 2022 2:19 PM",2154.0,
§15 Упражнение 15.1,273.73,Yes,No,0:57:50,283.985014409222,"July 19, 2022 6:26 PM",3470.0,
§15 Упражнение 15.2,273.73,Yes,No,0:51:25,319.425607779579,"July 19, 2022 7:29 PM",3085.0,
§15 Упражнение 15.3,273.73,Yes,No,0:17:50,920.960747663552,"July 22, 2022 1:19 PM",1070.0,
§15 Упражнение 15.4,273.73,Yes,No,1:31:05,180.316193961574,"July 22, 2022 6:20 PM",5465.0,
§15 Упражнение 15.5,273.73,Yes,No,0:56:03,293.020517395183,"July 22, 2022 7:23 PM",3363.0,
§16 Вопрос 1,273.73,Yes,No,0:27:38,594.347406513872,"July 22, 2022 8:28 PM",1658.0,
§16 Вопрос 2,273.73,Yes,No,0:23:18,704.884120171674,"July 22, 2022 10:16 PM",1398.0,
§16 Вопрос 3,273.73,Yes,No,0:16:26,999.419878296146,"July 22, 2022 10:34 PM",986.0,
§16 Вопрос 4,0.0,Yes,No,0:08:51,0.0,2022-08-01 04:20:03.274366,547.212671,
§16 Вопрос 5,0.0,Yes,No,1,,2022-08-01 04:21:14.350361,127.465032,
§16 Упражнение 16.1,0.0,No,No,1,0.0,"July 18, 2022 5:29 PM",,
§16 Упражнение 16.2,0.0,No,No,1,0.0,"July 18, 2022 5:29 PM",,
§16 Упражнение 16.3,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§16 Упражнение 16.4,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§16 Упражнение 16.5,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§16 Упражнение 16.6,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§17 Вопрос 1,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§17 Вопрос 2,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§17 Вопрос 3,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§17 Упражнение 17.1,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§17 Упражнение 17.2,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§17 Упражнение 17.3,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§18 Вопрос 1,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§18 Вопрос 2,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§18 Вопрос 3,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§18 Вопрос 4,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§18 Упражнение 18.1,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§18 Упражнение 18.2,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§18 Упражнение 18.3,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§18 Упражнение 18.4,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§18 Упражнение 18.5,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§19 Вопрос 1,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§19 Вопрос 2,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§19 Вопрос 3,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§19 Вопрос 4,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§19 Вопрос 5,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§19 Вопрос 6,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§19 Упражнение 19.1,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§19 Упражнение 19.2,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§20 Вопрос 1,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§20 Вопрос 2,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§20 Вопрос 3,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§20 Вопрос 4,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§20 Вопрос 5,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§20 Вопрос 6,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§20 Упражнение 20.1,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§20 Упражнение 20.2,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§20 Упражнение 20.3,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§20 Упражнение 20.4,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§21 Вопрос 1,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§21 Вопрос 2,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§21 Вопрос 3,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§21 Вопрос 4,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§21 Вопрос 5,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§21 Вопрос 6,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§21 Упражнение 21.1,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§21 Упражнение 21.2,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§21 Упражнение 21.3,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§21 Упражнение 21.4,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§22 Вопрос 1,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§22 Вопрос 2,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§22 Вопрос 3,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§22 Упражнение 22.1,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§22 Упражнение 22.2,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§22 Упражнение 22.3,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§22 Задание 1,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§22 Проверь себя 1,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§22 Проверь себя 2,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§22 Проверь себя 3,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§22 Проверь себя 4,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§23 Вопрос 1,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§23 Вопрос 2,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§23 Вопрос 3,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§23 Вопрос 4,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§23 Вопрос 5,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§23 Вопрос 6,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§23 Вопрос 7,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§23 Упражнение 23.1,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§23 Упражнение 23.2,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§23 Упражнение 23.3,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§24 Вопрос 1,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§24 Вопрос 2,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
§24 Вопрос 3,0.0,No,No,1,0.0,"July 18, 2022 5:30 PM",,
