Name,Cost,Done,Process,Time,Efficiency,Late,Due,Time done,Order,Time_seconds,Status
§1 Вопрос 1,273.73,Yes,No,0:43:05,381.210058027079,23,"October 31, 2021","November 23, 2021 9:59 PM",0,2585,
§1 Вопрос 2,273.73,Yes,No,0:21:01,781.465503568596,23,"October 31, 2021","November 23, 2021 9:59 PM",1,1261,
§1 Вопрос 3,273.73,Yes,No,0:15:01,1093.704772475028,23,"October 31, 2021","November 23, 2021 9:59 PM",2,901,
§1 Вопрос 4,273.73,Yes,No,0:22:00,746.536363636364,23,"October 31, 2021","November 23, 2021 9:59 PM",3,1320,
§1 Вопрос 5,273.73,Yes,No,0:26:35,617.823197492163,23,"October 31, 2021","November 23, 2021 9:59 PM",4,1595,
§1 Вопрос 6,273.73,Yes,No,0:32:40,502.769387755102,23,"October 31, 2021","November 23, 2021 9:59 PM",5,1960,
§1 Упражнение 1.1,273.73,Yes,No,0:17:16,951.185328185328,23,"October 31, 2021","November 23, 2021 9:59 PM",6,1036,
§1 Упражнение 1.2,273.73,Yes,No,0:23:18,704.884120171674,23,"October 31, 2021","November 23, 2021 9:59 PM",7,1398,
§1 Упражнение 1.3,273.73,Yes,No,0:23:50,689.11048951049,23,"October 31, 2021","November 23, 2021 9:59 PM",8,1430,
§1 Упражнение 1.4,273.73,Yes,No,0:16:56,969.909448818898,23,"October 31, 2021","November 23, 2021 9:59 PM",9,1016,
§1 Упражнение 1.5,273.73,Yes,No,1:26:57,188.887866589994,23,"October 31, 2021","November 23, 2021 9:59 PM",10,5217,
§2 Вопрос 1,273.73,Yes,No,0:15:51,1036.201892744479,23,"October 31, 2021","November 23, 2021 9:59 PM",11,951,
§2 Вопрос 2,273.73,Yes,No,0:19:39,835.81679389313,23,"October 31, 2021","November 23, 2021 9:59 PM",12,1179,
§2 Вопрос 3,273.73,Yes,No,0:20:45,791.50843373494,23,"October 31, 2021","November 23, 2021 9:59 PM",13,1245,
§2 Упражнение 2.1,273.73,Yes,No,0:28:04,585.171021377672,90,"October 31, 2021","January 29, 2022 7:25 PM",14,1684,
§2 Упражнение 2.2,273.73,Yes,No,0:22:45,721.925274725275,23,"October 31, 2021","November 23, 2021 9:59 PM",15,1365,
§3 Вопрос 1,273.73,Yes,No,0:48:01,342.043734814301,23,"October 31, 2021","November 23, 2021 9:59 PM",16,2881,
§3 Вопрос 2,273.73,Yes,No,0:17:41,928.772855796419,23,"October 31, 2021","November 23, 2021 9:59 PM",17,1061,
§3 Вопрос 3,273.73,Yes,No,0:19:50,828.090756302521,23,"October 31, 2021","November 23, 2021 9:59 PM",18,1190,
§3 Упражнение 3.1,273.73,Yes,No,1:33:29,175.686931716884,23,"October 31, 2021","November 23, 2021 9:48 PM",19,5609,
§3 Упражнение 3.2,273.73,Yes,No,0:46:44,351.436519258203,23,"October 31, 2021","November 23, 2021 9:49 PM",20,2804,
§4 Вопрос 1,273.73,Yes,No,0:39:56,411.280467445743,84,"October 31, 2021","January 23, 2022 1:57 PM",21,2396,
§4 Вопрос 2,273.73,Yes,No,0:21:39,758.605080831409,84,"October 31, 2021","January 23, 2022 2:20 PM",22,1299,
§4 Вопрос 3,273.73,Yes,No,0:30:46,533.817984832069,84,"October 31, 2021","January 23, 2022 3:00 PM",23,1846,
§4 Вопрос 4,273.73,Yes,No,1:04:05,256.288166449935,86,"October 31, 2021","January 25, 2022 9:47 PM",24,3845,
§4 Упражнение 4.1,273.73,Yes,No,0:46:44,351.436519258203,88,"October 31, 2021","January 27, 2022 4:44 PM",25,2804,
§4 Упражнение 4.2,273.73,Yes,No,1:17:50,211.012419700214,93,"October 31, 2021","February 1, 2022 2:33 PM",26,4670,
§5 Вопрос 1,273.73,Yes,No,0:40:24,410.595,93,"October 31, 2021","February 1, 2022 5:08 PM",27,2400,
§5 Вопрос 2,273.73,Yes,No,1:06:06,248.468986384266,93,"October 31, 2021","February 1, 2022 8:34 PM",28,3966,
§5 Вопрос 3,273.73,Yes,No,0:25:22,647.455978975033,93,"October 31, 2021","February 1, 2022 9:22 PM",29,1522,
§5 Вопрос 4,273.73,Yes,No,0:17:31,937.609895337774,93,"October 31, 2021","February 1, 2022 9:40 PM",30,1051,
§5 Вопрос 5,273.73,Yes,No,1:04:42,253.84544049459,98,"October 31, 2021","February 6, 2022 3:41 PM",31,3882,
§5 Вопрос 6,273.73,Yes,No,0:40:06,409.571072319202,99,"October 31, 2021","February 7, 2022 7:10 PM",32,2406,
§5 Упражнение 5.1,273.73,Yes,No,0:56:44,289.491186839013,100,"October 31, 2021","February 8, 2022 11:10 PM",33,3404,
§5 Упражнение 5.2,273.73,Yes,No,0:12:05,1359.211034482759,102,"October 31, 2021","February 10, 2022 11:15 AM",34,725,
§5 Упражнение 5.3,273.73,Yes,No,0:47:30,345.764210526316,102,"October 31, 2021","February 10, 2022 9:05 PM",35,2850,
§6 Вопрос 1,273.73,Yes,No,0:11:54,1380.151260504202,104,"October 31, 2021","February 12, 2022 6:01 PM",36,714,
§6 Вопрос 2,273.73,Yes,No,1:20:48,203.264851485149,104,"October 31, 2021","February 12, 2022 8:10 PM",37,4848,
§6 Вопрос 3,273.73,Yes,No,1:19:13,207.327582579424,114,"October 31, 2021","February 22, 2022 4:18 PM",38,4753,
§6 Упражнение 6.1,273.73,Yes,No,0:23:50,689.11048951049,114,"October 31, 2021","February 22, 2022 5:36 PM",39,1430,
§6 Упражнение 6.2,273.73,Yes,No,0:47:07,348.577290413866,118,"October 31, 2021","February 26, 2022 12:30 PM",40,2827,
§6 Упражнение 6.3,273.73,Yes,No,1:03:38,258.100576217915,118,"October 31, 2021","February 26, 2022 2:04 PM",41,3818,
§6 Упражнение 6.4,273.73,Yes,No,0:22:43,722.984592809978,118,"October 31, 2021","February 26, 2022 7:55 PM",42,1363,
§6 Упражнение 6.5,273.73,Yes,No,0:56:57,288.389815627744,119,"October 31, 2021","February 27, 2022 9:45 PM",43,3417,
§7 Вопрос 1,273.73,Yes,No,2:22:09,115.53851565248,121,"October 31, 2021","March 1, 2022 8:52 PM",44,8529,
§7 Вопрос 2,273.73,Yes,No,0:34:48,471.948275862069,121,"October 31, 2021","March 1, 2022 9:30 PM",45,2088,
§7 Упражнение 7.1,273.73,Yes,No,0:43:43,375.687380861609,122,"October 31, 2021","March 2, 2022 1:09 PM",46,2623,
§7 Упражнение 7.2,273.73,Yes,No,0:34:16,479.293774319066,122,"October 31, 2021","March 2, 2022 2:34 PM",47,2056,
§7 Упражнение 7.3,273.73,Yes,No,0:12:13,1344.37653478854,122,"October 31, 2021","March 2, 2022 7:02 PM",48,733,
§8 Вопрос 1,273.73,Yes,No,0:37:04,443.088129496403,128,"October 31, 2021","March 8, 2022 11:50 AM",49,2224,
§8 Вопрос 2,273.73,Yes,No,0:52:41,311.745650110725,129,"October 31, 2021","March 9, 2022 9:25 PM",50,3161,
§8 Вопрос 3,273.73,Yes,No,0:33:42,487.353115727003,130,"October 31, 2021","March 10, 2022 12:40 AM",51,2022,
§8 Вопрос 4,273.73,Yes,No,0:39:21,417.377382465057,131,"October 31, 2021","March 11, 2022 12:21 PM",52,2361,
§8 Вопрос 5,273.73,Yes,No,0:19:13,854.664353859497,133,"October 31, 2021","March 13, 2022 1:27 PM",53,1153,
§8 Упражнение 8.1,273.73,Yes,No,0:44:25,369.76660412758,136,"October 31, 2021","March 16, 2022 1:24 PM",54,2665,
§8 Упражнение 8.2,273.73,Yes,No,0:45:04,364.433431952663,136,"October 31, 2021","March 16, 2022 8:53 PM",55,2704,
§8 Упражнение 8.3,273.73,Yes,No,0:14:52,1104.739910313901,141,"October 31, 2021","March 21, 2022 2:52 PM",56,892,
§9 Вопрос 1,273.73,Yes,No,0:54:36,300.802197802198,141,"October 31, 2021","March 21, 2022 3:45 PM",57,3276,
§9 Вопрос 2,273.73,Yes,No,0:18:29,888.573489630298,141,"October 31, 2021","March 21, 2022 4:04 PM",58,1109,
§9 Вопрос 3,273.73,Yes,No,0:32:40,502.769387755102,147,"October 31, 2021","March 27, 2022 12:17 AM",59,1960,
§9 Упражнение 9.1,273.73,Yes,No,0:04:27,3690.741573033708,147,"October 31, 2021","March 27, 2022 12:49 PM",60,267,
§9 Упражнение 9.2,273.73,Yes,No,0:45:10,363.626568265683,149,"October 31, 2021","March 29, 2022 8:42 PM",61,2710,
§9 Упражнение 9.3,273.73,Yes,No,0:12:44,1289.82722513089,149,"October 31, 2021","March 29, 2022 8:56 PM",62,764,
§9 Упражнение 9.4,273.73,Yes,No,0:18:33,885.380053908356,149,"October 31, 2021","March 29, 2022 9:15 PM",63,1113,
§9 Упражнение 9.5,273.73,Yes,No,1:21:00,202.762962962963,151,"October 31, 2021","March 31, 2022 11:58 PM",64,4860,
§10 Вопрос 1,273.73,Yes,No,1:36:54,169.49226006192,153,"October 31, 2021","April 2, 2022 5:53 PM",65,5814,
§10 Вопрос 2,273.73,Yes,No,0:16:55,970.865024630542,155,"October 31, 2021","April 4, 2022 1:17 PM",66,1015,
§10 Вопрос 3,273.73,Yes,No,0:51:56,316.247753530167,155,"October 31, 2021","April 4, 2022 2:21 PM",67,3116,
§10 Вопрос 4,273.73,Yes,No,0:20:05,817.782572614108,157,"October 31, 2021","April 6, 2022 9:31 PM",68,1205,
§10 Вопрос 5,273.73,Yes,No,0:44:03,372.844494892168,157,"October 31, 2021","April 6, 2022 10:43 PM",69,2643,
§10 Упражнение 10.1,273.73,Yes,No,1:00:49,270.054261441491,159,"October 31, 2021","April 8, 2022 4:57 AM",70,3649,
§11 Вопрос 1,273.73,Yes,No,1:11:08,230.887535145267,175,"October 31, 2021","April 24, 2022 10:10 PM",71,4268,
§11 Вопрос 2,273.73,Yes,No,0:27:29,597.591267434809,176,"October 31, 2021","April 25, 2022 3:04 PM",72,1649,
§11 Вопрос 3,273.73,Yes,No,1:17:36,211.646907216495,176,"October 31, 2021","April 25, 2022 7:20 PM",73,4656,
§11 Вопрос 4,273.73,Yes,No,0:18:46,875.158081705151,176,"October 31, 2021","April 25, 2022 8:50 PM",74,1126,
§11 Вопрос 5,273.73,Yes,No,0:24:17,676.340425531915,176,"October 31, 2021","April 25, 2022 9:31 PM",75,1457,
§11 Упражнение 11.1,273.73,Yes,No,0:42:16,388.57570977918,182,"October 31, 2021","May 1, 2022 3:51 PM",76,2536,
§11 Упражнение 11.2,273.73,Yes,No,0:34:04,482.107632093934,182,"October 31, 2021","May 1, 2022 4:30 PM",77,2044,
§11 Упражнение 11.3,273.73,Yes,No,0:33:44,486.871541501976,182,"October 31, 2021","May 1, 2022 5:49 PM",78,2024,
§11 Упражнение 11.4,273.73,Yes,No,0:39:21,417.377382465057,182,"October 31, 2021","May 1, 2022 7:23 PM",79,2361,
§11 Упражнение 11.5,273.73,Yes,No,0:47:58,342.400277970813,182,"October 31, 2021","May 1, 2022 8:40 PM",80,2878,
§11 Упражнение 11.6,273.73,Yes,No,0:18:14,900.756855575869,183,"October 31, 2021","May 2, 2022 4:01 PM",81,1094,
§12 Вопрос 1,273.73,Yes,No,0:44:36,368.246636771301,183,"October 31, 2021","May 2, 2022 4:46 PM",82,2676,
§12 Вопрос 2,273.73,Yes,No,0:32:50,500.217258883249,183,"October 31, 2021","May 2, 2022 7:07 PM",83,1970,
§12 Вопрос 3,273.73,Yes,No,0:49:21,332.802431610942,183,"October 31, 2021","May 2, 2022 8:00 PM",84,2961,
§12 Вопрос 4,273.73,Yes,No,0:15:51,1036.201892744479,183,"October 31, 2021","May 2, 2022 8:19 PM",85,951,
§12 Вопрос 5,273.73,Yes,No,0:18:45,875.936,183,"October 31, 2021","May 2, 2022 8:40 PM",86,1125,
§12 Упражнение 12.1,273.73,Yes,No,0:33:41,487.594260267195,243,"October 31, 2021","July 1, 2022 4:44 PM",87,2021,
§12 Упражнение 12.2,273.73,Yes,No,0:23:26,700.873399715505,244,"October 31, 2021","July 2, 2022 6:10 PM",88,1406,
§12 Упражнение 12.3,273.73,Yes,No,2:26:50,111.85334846765,245,"October 31, 2021","July 3, 2022 4:52 PM",89,8810,
§13 Вопрос 1,273.73,Yes,No,1:03:51,257.224745497259,247,"October 31, 2021","July 5, 2022 4:04 PM",90,3831,
§13 Вопрос 2,273.73,Yes,No,0:25:38,640.720416124838,247,"October 31, 2021","July 5, 2022 4:30 PM",91,1538,
§13 Вопрос 3,273.73,Yes,No,0:24:28,671.272479564033,252,"October 31, 2021","July 10, 2022 1:30 PM",92,1468,
§13 Вопрос 4,273.73,Yes,No,0:18:11,903.233730522457,252,"October 31, 2021","July 10, 2022 1:55 PM",93,1091,
§13 Вопрос 5,273.73,Yes,No,0:47:14,347.716302046577,252,"October 31, 2021","July 10, 2022 4:25 PM",94,2834,
§13 Вопрос 6,273.73,Yes,No,0:14:56,1099.808035714286,252,"October 31, 2021","July 10, 2022 5:02 PM",95,896,
§13 Упражнение 13.1,273.73,Yes,No,1:07:14,244.280614774417,252,"October 31, 2021","July 10, 2022 8:09 PM",96,4034,
§13 Упражнение 13.2,273.73,Yes,No,0:30:37,536.433315187806,252,"October 31, 2021","July 10, 2022 10:54 PM",97,1837,
§13 Упражнение 13.3,273.73,Yes,No,0:40:51,402.051407588739,254,"October 31, 2021","July 12, 2022 4:20 PM",98,2451,
§14 Вопрос 1,273.73,Yes,No,0:03:29,4714.966507177034,257,"October 31, 2021","July 15, 2022 7:11 PM",99,209,